Title,Excerpt,Category
Man Utd Stumble Again in Watford Stalemate,Manchester United's challenge for a top-four finish in the Premier League stumbled once more as Watford clung on for a,sports
Favourites Clash as Belgium Battle Italy for Euro Semi-final Spot in Munich,Belgium and Italy will go head-to-head for a spot in the Euro 2020 semi-finals when they meet in Munich for,sports
"Israeli Hospital Allegedly Finds Cure for Covid-19, Says All Treated Patients Fully Recovered",A new coronavirus treatment being developed at Tel Aviv’s Ichilov Medical Center has successfully completed phase 1 trials and appears,health
"Emirates to Resume Flights to Nigeria as FG Lifts Ban, after UAE Drops Rapid Antigen Test","The United Arab Emirates, in its latest Coronavirus protocol released on Friday, dropped the Rapid Antigen Test (RDT) for COVID-19",business
"OPEC+ Resolves to Continue with Gradual 400,000 bpd Oil Output Hikes",The Organisation of Petroleum Exporting Countries (OPEC) again resolved on Thursday to stick to its strategy of gradually reopening its,business
Suzuki Expects Operating Profit to Fall Amid Pandemic,"Japan’s fourth largest automaker Suzuki Motors, has forecast operating profit to fall by a quarter to $1.5 billion in the",business
"Liverpool Clash ‘Toughest Task of Season’, Says Fulham Boss Scott Parker",Fulham head coach Scott Parker believes his side will on Sunday face their “toughest test” when they host Premier League,sports
Delta Air Lines to Charge $200 Monthly Health Insurance for Unvaccinated Staff,Delta Air Lines on Wednesday said employees will have to pay $200 more every month for their company-sponsored healthcare plan,health
New Zealand Reports First Community Covid-19 Case in Months,"New Zealand has reported its first coronavirus case outside of a quarantine facility in more than two months, although there",health
"Britney Spears Can Hire Own Lawyer in Conservatorship Case, Judge Rules",A Los Angeles judge has said US pop star Britney Spears can choose her own lawyer in the fight to,entertainment
"Report: More Than 6,500 Migrant Workers Have Died During Qatar’s World Cup Prep","The Guardian reports that more than 6,500 migrant workers have died in Qatar amid the nation's preparation to host the",sports
"Ondo Will Sustainably Produce Cocoa, Says Governor Akeredolu","Ondo State Governor, Oluwarotimi Akeredolu, on Thursday said his administration will ensure that cocoa production remains stable and is sustained",business
Dubai’s Ruler Receives China’s Coronavirus Vaccine Shot,"Prime minister and vice president of the United Arab Emirates and ruler of Dubai, Sheikh Mohammed bin Rashid Al Maktoum,",health
Guinea’s Opposition Implores West African States to Help Prevent Crisis,Rita Osakwe Guinea’s main opposition leader has called on neighbouring West African countries to quell a growing political crisis in,politics
"J&J Vaccine Adds to Covid-19 Armoury, Includes South African Variant",Johnson & Johnson said on Friday that its single-dose vaccine was 66% effective in preventing Covid-19 in a large global,health
Kim Kardashian Files to Divorce Kanye West,Kim Kardashian West has filed for divorce from Kanye West after 6 1/2 years of marriage. Sources familiar with the,entertainment
"Trump Sues to Halt Vote Counting in Pennsylvania, Michigan","The Trump campaign said it filed lawsuits Wednesday in Pennsylvania and Michigan, laying the groundwork for contesting the outcome in",politics
Chadwick Boseman Receives Posthumous Oscar Nomination in Most Diverse List Ever,"Half a year after his death, Chadwick Boseman was posthumously nominated for an Academy Award on Monday for his final",entertainment
"Kanye, Busta Rhymes Present as DMX Immortalised By Family, Close Friends at Memorial","DMX’s legacy was immortalized as a man beloved by his family, honoured for his strong faith and respected as one",entertainment
R. Kelly’s Fate Now in Jury’s Hands at Sex Trafficking Trial,R. Kelly’s fate is now in a jury’s hands after weeks of lurid testimony in his sexual misconduct trial. The,entertainment
Nigeria: INEC Says It Has Capacity to Transmit Results Realtime Nationwide,"Festus Okoye, the Independent National Electoral Commission  (INEC) Commissioner in charge of Voter Education has affirmed that the Commission has",politics
Nigeria Disburses $510m Export Grant to 270 Exporters,Nigeria’s Debt Management Office (DMO) has said that a total of N195 billion (about $510 million) has been disbursed to,business
"Osun Election Will Herald an End to APC’s Reign in Nigeria, Atiku Says","Alhaji Atiku Abubakar, on Thursday, said a PDP victory in the Osun State governorship election on Saturday will bring an",politics
Nigeria: Year-On-Year Headline Inflation Decelerates to 17.38%,Nigeria’s year-on-year headline inflation rate fell to 17.38 per cent for the fourth consecutive month in July from 17.75 per,business
VP Osinbajo Says Coca-Cola’s Planned $1bn Investment Will Positively Impact Nigeria’s Economy,"The Vice President, Prof. Yemi Osinbajo has said the plan by the multinational beverage company, Coca-Cola, to invest $1 billion",business
"Nigeria: FG Considers Three Options to Address Electoral Act Impasse, Including Litigation","Nigeria's federal government has disclosed that it was considering three options, which included litigation, to address the refusal by the",politics
Nigeria to Lose Over $1bn to Under-Production as OPEC Raises Oil Quota,"At a conservative price of $70 per barrel, Nigeria might lose as much as $1.085 billion in February as a",business
Liverpool Hold Man City to 1-1 Draw,Liverpool's hopes of returning to the Premier League summit were frustrated as they fought out a high-quality draw at Manchester,sports
"Nigeria Urges Shell, Chevron, NNPC to Allow Third Parties Use Their Gas Pipelines","Shell Nigeria, Chevron and the Nigerian National Petroleum Company (NNPC) Limited are hindering full operation of the Nigeria Liquefied Natural",business
South Africa’s Manufacturing Activity Expands Slightly in January,"South Africa’s manufacturing activity expanded slightly in January, the seasonally-adjusted Absa Purchasing Managers’ Index (PMI) showed on Monday. The index,",business
"Nigeria’s National Sports Festival Rescheduled Again, to Start on Valentines’ Day",The 20th edition of Nigeria’s National Sports Festival has yet again been rescheduled to hold between February 14 and 18,sports
Michael B. Jordan Producing Mohammed Ali Series,Michael B. Jordan developing a Muhammed Ali limited series but it will not feature the 'Black Panther' actor. Michael B.,entertainment
"Ahead of APC’s Presidential Primary, African Leaders Pressure Buhari to Annoint AfDB President Adesina","Some African leaders have mounted pressure on President Muhammadu Buhari to anoint President of the African Development Bank (AfDB), Dr.",politics
Cuban Doctors Arrive in Mozambique to Battle Covid-19,"A group of Cuban medics, including five doctors and nine nurses, have arrived in Mozambique to help fight the Covid-19",health
China’s Exports Beat Forecast Amid Power Shortages,"China’s export growth unexpectedly accelerated in September, as still solid global demand offset some of the pressures on factories from",business
"N100m Form: APC Presidential Aspirant Defects, Alleges Party Chairman Adamu Has Commercialised Primaries","One of the presidential aspirants on the APC platform, Adamu Garba, left the party on Tuesday over the N100 million",politics
Chadwick Boseman To Receive Posthumous Honours at Multiple Award Shows,Chadwick Boseman will receive posthumous honours during MTV’s 'Greatest of All Time' special and at the 30th annual Gotham Independent,entertainment
Cameroon Dump Ivory Coast Out of World Cup Qualifiers,Olympique Lyonnais forward Karl Toko Ekambi’s first-half strike fired Cameroon to the play-offs round of the Fifa World Cup qualifiers,sports
"Nigeria Must Enforce Stiffer Measures against Vote Buying with Impunity, Says CDD","One of Africa's leading think tanks and civil society groups, the Centre for Democracy and Development (CDD) has called on",politics
"Amid tensions with China, India warns Amazon over Country of Origin Rule",The Indian government has warned Amazon.com’s local unit and Walmart’s Flipkart that sellers on their platforms are not complying with,business
Naomi Osaka Withdraws from French Open after Refusing to Do News Conferences,World number two Naomi Osaka says she is withdrawing from the French Open as a result of controversy over her,sports
US Spends $768m on Malaria in Nigeria Over 10 Years,"The United States has spent $768 million from 2011 to date to fight malaria in Nigeria. In 2021 alone, she",health
"Nigeria’s Drug Addiction Three Times More Than Global Average, Says NDLEA Boss Marwa","Chairman/Chief Executive of Nigeria's National Drug Law Enforcement Agency (NDLEA), Brig. Gen. Buba Marwa (Retd) has lamented that Nigeria’s drug",health
Opposition Holds Final Rally as Guineans Vote in Sunday’s Presidential Election,"Guinea's opposition leader and presidential candidate Cellou Dalein Diallo has held his final rally ahead of Sunday's election, denouncing President",politics
"Edo Governor Obaseki Says Benin River Port Will Boost Export Earnings, Facilitate Economic Growth","Edo State Governor, Mr. Godwin Obaseki, has said his administration remains committed to the realisation of the Benin River Port",business
Fallout Continues From Biggest Global Ransomware Attack,The single biggest ransomware attack yet continued to bite Monday as more details emerged on how a Russia-linked gang breached,tech
Classy Italy Kick Belgium Out to Reach Euro Semifinals,Italy put out a classical display to set up a Euro 2020 semifinal clash against Spain after first half goals,sports
"Google, WIOCC Unveil Open Access Subsea Cable in Nigeria","Google, in collaboration with its cable landing partner, WIOCC, on Thursday in Lagos, celebrated the landing of Equiano subsea internet",tech
Liverpool Ease to 3-0 Victory Over Norwich in Season Opener,Liverpool kicked off their 2021-22 Premier League campaign with a straightforward win over Norwich City at Carrow Road on Saturday.,sports
"NSIA: No Plans to Move Our Investments Away from Dollar, Says Nigeria’s Sovereign Wealth Fund","Managing Director/Chief Executive of Nigeria Sovereign Investment Authority (NSIA), Mr. Uche Orji, has said the investment authority has no plan",business
FCMB CEO Proceeds on Leave as Bank Intensifies Probe into Paternity Allegation,"The Chief Executive Officer of First City Monument Bank Limited (FCMB), Mr. Adam Nuru, has voluntarily chosen to proceed on",business
PM Johnson Prepares to Call in Army as Panic Buying Drains UK Petrol Pumps,Britain’s Prime Minister Boris Johnson is considering calling in the army to drive fuel tankers as petrol stations prepare for,business
Nigeria’s Liquefied Natural Gas Export Hits 15-Month High,"Nigeria’s Liquefied Natural Gas (LNG) exports edged up in December 2021, compared with a year earlier and was the highest",business
Nigeria: Buhari to Sign Reworked Electoral Bill on Friday,"Barring any last minute changes, President Muhammadu Buhari may assent to the reworked Electoral Act Amendment Bill transmitted to him",politics
"Serie A: Sanchez, Lukaku Inspire Inter Comeback",Alexis Sanchez and Romelu Lukaku were both on target on Sunday as Inter Milan scored four times in the final,sports
PSG 1-1 Barcelona: Mbappe Penalty Helps Book Quarter-final Spot Despite Messi Stunner,Paris Saint-Germain are through to the quarter-finals of the Champions League thanks to a 5-2 aggregate victory over Barcelona as,sports
"Governors’ Chair Fayemi, Benue Governor Ortom Praise Buhari for Withholding Assent to Electoral Bill","Chairman of the Nigeria Governors Forum (NGF) and Governor of Ekiti State, Dr. Kayode Fayemi, and his Benue State counterpart,",politics
Inter Milan Crowned Serie A Champions as Conte Ends Juventus’ Nine-year Title Run,"Inter Milan have won the Serie A title, with Antonio Conte ending Juventus’ nine-year run as champion s of Italy.",sports
"WHO to Trial Malaria, Arthritis Drugs as Covid Treatments",The World Health Organization (WHO) will test three new drugs as potential treatments for people in hospital with severe COVID-19,health
Kanye West Now ‘Richest Black Person in US History’ with $6.6 Billion Net Worth,"Now worth a whopping $6.6 billion, producer, rapper, and fashion mogul Kanye West is the richest African American in the",entertainment
Nigeria: Senate Rejects Presidential Aide Lauretta Onochie as INEC Commissioner,The Nigerian Senate has rejected Presidential aide Lauretta Onochie as a national commissioner for the country's Independent National Electoral Commission (INEC).,politics
"Nigeria: It’s Unconstitutional, Northcentral Kogi Governor Kicks Against Rotational Presidency",Nigeria's northcentral Kogi state governor Yahaya Bello on Friday kicked against any form of zoning arrangement for the office of,politics
Tuchel Criticise Hudson-Odoi after Chelsea Draw with Southampton,Chelsea manager Thomas Tuchel says he hauled off substitute Callum Hudson-Odoi as he wasn’t happy with his “energy or attitude”.,sports
"Finance Minister Says Nigeria Taking $750m World Bank Loan on Behalf of States, Blames Transport Costs for Inflation","The Nigerian government is in the process of accessing a $750m World Bank loan on behalf of states, the country's",business
Former Nigeria VP Atiku Under Fire for Kicking Against Zoning Presidential Ticket,Former Nigeria Vice President Atiku Abubakar on Saturday came under fire for faulting the call on the Peoples Democratic Party,politics
NASA Extracts Breathable Oxygen from Thin Martian Air,NASA has logged another extraterrestrial first on its latest mission to Mars: converting carbon dioxide from the Martian atmosphere into,tech
Australia to Continue Astrazeneca Jab Rollout Despite Pause from EU Countries,"Australia has announced it will continue its AstraZeneca Covid-19 vaccination rollout, despite a growing number of European countries suspending its",health
Nigeria: Central Bank Unveils Incentives to Boost FX Repatriation,The Central Bank of Nigeria (CBN) on Friday released guidelines for the implementation of the RT200 (Race to US$200 billion,business
"Roman Abramovich Receives Multiple Bids for  Chelsea, ‘None Match £3bn Valuation’","Roman Abramovich has received multiple bids for Chelsea but none have yet matched his £3 billion (3.94bn) valuation, sources have",sports
China Not Convinced by Canada’s Wu-Tang Clan Explanation,A ruckus brought by China over Canadian T-shirts bearing an altered logo of the New York hip-hop group Wu-Tang Clan,entertainment
Africa CDC Chief Warns of ‘Vaccine War’ Over Access to Jabs,The director of the Africa Centres for Disease Control and Prevention has urged global powers to avoid a “vaccine war”,health
Nigeria Versus Sierra Leone in Numbers,Nigeria’s Super Eagles will host the Leone Stars of Sierra Leone in the first of double header encounters and a,sports
Nigeria’s BUA Signs Pact with China’s CBMI to Build Cement Plants Worth $1.05bn,Nigeria-headquartered BUA Cement Plc has signed an agreement with Sinoma CBMI of China for the construction of three new cement,business
"Sudan Becomes Third Arab Nation to Normalise Ties with Israel after UAE, Bahrain","Sudan and Israel have agreed to normalize relations, making it the third Arab state to do so as part of",politics
"Brazilian Hospitals Close to Covid-induced Collapse, Report Says","Health systems in most of Brazil's largest cities are close to collapse due to Covid-19 cases, a report by the",health
"Nigeria: Oil Marketers Say Subsidy Not Sustainable, Want Gradual Removal to Minimise Shock",MOMAN have advised the government to end the subsidy.Read more,business
Jack Dorsey Resigns as Twitter Chief Executive,Twitter CEO Jack Dorsey will step down as head of the social media platform he co-founded a decade and a,business
Nigeria Appeal Court Reverses Nullification of Diri’s Election as Bayelsa Governor,"A five man panel of Justices of the Court of Appeal sitting in Abuja, on Friday, reversed the nullification of",politics
UN Endorses World’s First Malaria Vaccine as ‘Historic Moment’,The World Health Organization on Wednesday endorsed the world's first malaria vaccine and said it should be given to children,health
Nigeria to Continue Setting Petrol Prices Despite NNPC’s Transition to Commercial Entity,"President Buhari recently deferred the full deregulation of the sector, which would have seen the removal of the controversial and",business
"NASA: Mystery Object Orbiting Earth Is 54-year-old Rocket, Not Asteroid","A mysterious object temporarily orbiting Earth is a 54-year-old rocket, not an asteroid after all, astronomers confirmed Wednesday. Observations by",tech
"Nigeria: INTELS Responds to FG, Says Process of Awarding Pilotage Contract Not Closed","The battle to retain its service boat contract in the pilotage district of Lagos, Warri, Bonny, Port-Harcourt and Calabar, which",business
"Suez Blockage Holding Up $9.6bn of Goods Daily, Stranded Ship Could Take Weeks to Remove",The stranded Ever Given mega-container ship in the Suez Canal is holding up an estimated $9.6bn (£7bn) of goods each,business
"Dangote Refinery Lekki 80% Ready, Targets Marketing Petroleum Products By 2021","Dangote Group has announced that refined petroleum products from its 650,000 per day refinery under construction will hit the market",business
Chelsea Director Marina Granovskaia Exits After Todd Boehly Takeover,"Chelsea director Marina Granovskaia has left the club, it was announced on Wednesday. Granovskaia follows chairman Bruce Buck in leaving",sports
Jeff Bezos Reclaims Title of World’s Richest Person from Elon Musk,"Jeff Bezos has reclaimed his title of world's richest person, ending Elon Musk's roughly six-week reign on top of the",business
"Fleeing Sanctions, Russian Oligarchs Seek Safe Ports for Superyachts","The massive superyacht Dilbar stretches one-and-a-half football fields in length, about as long as a World War I dreadnought. It",business
"Nigeria ‘Doomed’ If APC or PDP Wins Next Presidential Election, ‘Third Force’ Advocate Nwosu Says","Nigeria will be ""doomed"" in 2023 if any of the country's politicians from the two main political parties succeed in",politics
‘You’re Playing With Fire’: Rivers Governor Wike Warns FIRS Against Sabotage of Administering Tax Laws,"Rivers State Governor, Nyesom Wike has sternly warned the Federal Inland Revenue Service (FIRS) against sabotaging and undermining the state",business
"Pfizer Covid Vaccine Effectiveness Drops after Six months, Study Shows",The effectiveness of the Pfizer Inc/BioNTech SE vaccine in preventing infection by the coronavirus dropped to 47% from 88% six,health
Britney Spears’ Father Files to End Court Conservatorship,Britney Spears' father filed Tuesday to end the court conservatorship that has controlled the singer's life and money for 13,entertainment
Man City Unveil Sergio Aguero Statue to Celebrate 10th Anniversary of First Premier League Title,Manchester City legend Sergio Aguero says the new statue of him to mark the 10th anniversary of the club's first,sports
Chevron Nigeria Set to Lay Off 25% of Workforce,"Oil giant, Chevron Nigeria Limited (CNL), operator of the joint venture between the Nigerian National Petroleum Corporation (NNPC) and CNL",business
Juventus End Milan’s Unbeaten Run,Federico Chiesa scored twice as champions Juventus produced a superb display to end AC Milan's unbeaten league run this season.,sports
"Dortmund’s Hopes of Haaland Stay, Champions League Football Hit With Loss Against Frankfurt",Borussia Dortmund's hopes of holding on to in-demand striker Erling Haaland by qualifying for next season's Champions League were dealt,sports
AFCON: Sadio Mane Inspires Senegal to Impressive Win in Dakar,Liverpool’s Sadio Mane was the highlight of the opening day of Match-day three of the 2022 AFCON qualifiers on Wednesday,sports
Zuma’s Corruption Trial on Tuesday  ‘to Be Postponed’ Due to Ill Health,The Jacob Zuma Foundation says Tuesday's planned hearing relating to the corruption trial of former South African President Jacob Zuma,politics
"Petroleum Act Will Enhance Nigeria’s Energy Growth, Deputy Oil Minister Sylva Reiterates","Minister of State for Petroleum Resources, Chief Timipre Sylva, has restated that the Petroleum Industry Act (PIA) will enhance energy",business
"Nigeria to Spend $5bn to Wipe Out Malaria, Health Minister Ehanire Says","Nigeria’s Minister of Health, Dr. Osagie Ehanire has disclosed that the federal government would spend N1.89 trillion (about $5bn) to",health
Family of James Brown Settles 15-year Battle Over His Estate,"The family of entertainer James Brown has reached a settlement ending a 15-year battle over the late singer’s estate, an",entertainment
Clarke Resigns as England FA Chairman after Apologising for Saying ‘Coloured Footballers’,"Greg Clarke has resigned as FA chairman in the wake of referring to BAME footballers as ""coloured"" while giving evidence",sports
"Some Vaccine Doses Kept Too Cold, Pfizer Having Manufacturing Issues, US Officials Say",The first days of Pfizer Inc’s Covid-19 vaccine rollout have seen unexpected hitches including some vaccines being stored at excessively,health
Dollar Crisis: Nigeria Rated Most Crypto-Obsessed Nation in the World,"While the government has had a tough stance against cryptocurrencies since banning them in 2021, adoption continues to grow.Read more",business
"Presidential Primary: Southern PDP Governors Ganged Up Against Me, Wike Alleges","Rivers State Governor Nyesom Wike on Monday accused his southern colleagues of masterminding his failure to win the ticket, saying",politics
"Nigeria: Atiku Woos Lagos PDP Delegates Ahead of Party Primary, Charges Leaders to Restore National Unity","Following his recent declaration to contest for the president of Nigeria in the 2023 elections, former vice-president Atiku Abubakar met",politics
Djokovic Tells Court He Was Cleared to Enter Australia after Covid Infection,"Tennis world number one Novak Djokovic mounted his legal challenge on Saturday to being refused entry to Australia, saying he",sports
Elon Musk Laughs Off Twitter Lawsuit Threat,Elon Musk’s silence over his attempt to bail out on purchasing Twitter for $44 billion is no more.Read more,tech
Lionel Messi Becomes Free Agent after Barcelona Contract Expires,"Lionel Messi's contract with Barcelona has expired, leaving the 34-year-old as a free agent. Messi is currently playing in Copa",sports
Nigeria Pays $100m for Siemens Power Project,Nigeria's federal government has made a payment of $100 million as part of Nigeria's counterpart fund in the Presidential Power,business
Nigeria: PDP Governors Want Parliament to Quickly Rework Electoral Bill and Return for Assent,"Governors elected on the platform of the main Peoples Democratic Party (PDP), on Monday, urged the National Assembly to rework",politics
Shakhtar Donetsk 2-0 Real Madrid: 13-time Champions at Risk of Group Stage Elimination,Real Madrid are in danger of a dramatic Champions League group-stage exit after they fell to a 2-0 away defeat,sports
Super Eagles Stalwart Wilfred Ndidi Back from Injury,Leicester City manger Brendan Rodgers has expressed his excitement following the return of Super Eagles’ holding midfielder Wilfred Ndidi from,sports
US Senators Question Apple and Google on App Store Dominance,A panel of US senators questioned officials from Apple Inc and Alphabet Inc’s Google on Wednesday about the dominance of,tech
"Lewis Hamilton Wins Seventh F1 Title, Becomes Most Successful Driver Ever",Lewis Hamilton clinched a seventh World Championship and became the most successful racing driver ever with a masterful victory in,sports
"Nigeria: PDP NEC Sets Up 37-Man Committee Over Presidential Ticket, Sells Form for N35m",Nigeria's main opposition Peoples Democratic Party (PDP) has set up a 37-man committee to discuss issues around its presidential ticket,politics
Toshiba Targets $3bn Revenue in Quantum Cryptography by 2030,Toshiba Corp. said on Monday it aims to generate $3 billion in revenue from its advanced cryptographic technology for data,tech
ECOWAS Parliament Cautions Against Cryptocurrencies,"The meeting of the Joint Committee of the ECOWAS Parliament holding in Ouagadougou, Burkina Faso has cautioned against the use",business
WTA Suspends Tournaments in China over Peng Concerns,The Women’s Tennis Association (WTA) on Wednesday announced the immediate suspension of all tournaments in China due to concerns about,sports
Nigeria: Governing APC Formally Informs INEC of February 26 Convention,The All Progressives Congress (APC) has written to the Independent National Electoral Commission (INEC) to officially communicate its plan to,politics
Nigeria: Low Turnout in Several States as First Phase of Covid Vaccination Ends April 16,"As the target date given by the federal government for states to end the first phase of Covid-19 vaccination approaches,",health
Tokyo Olympics: US Beat France 87-82 to Claim Fourth Straight Gold Medal in Men’s Basketball,Tokyo Olympics: US Beat France 87-82 to Claim Fourth Straight Gold Medal in Men’s Basketball Team USA secured a fourth,sports
Simone Biles will not defend her Olympic gold medal on floor exercise.,"USA Gymnastics announced Sunday that the six-time Olympic medalist has opted not to compete on floor, where she won gold",health
Buzzfeed Acquires HuffPost from Verizon Wireless,"HuffPost has a new owner, with its current parent company Verizon Media reaching an agreement to sell the site to",business
Nicole Young Wants Dr Dre Questioned on Alleged Mistresses,Dr Dre's estranged wife Nicole Young has asked a court to investigate his alleged mistresses. Young wants the court to,entertainment
"Pinnick Decries Campaign of Calumny, Says He Holds President Buhari in High Esteem","President of the Nigeria Football Federation, Mr Amaju Melvin Pinnick on Tuesday expressed shock at a report in a section",sports
Bank of Japan Governor Optimistic Economy Will Recover,"Bank of Japan Governor Haruhiko Kuroda expressed optimism Thursday about the country's economic recovery amid the coronavirus pandemic. ""Economic activity",business
Valieva to Take to Olympic Ice Once More on Thursday Amid Doping Scandal,"Kamila Valieva aims for the top step of a podium she may never see when the Russian figure skating star,",sports
WHO Says 7m Doses of Covid Vaccines Administered in Africa So Far,"Over six million doses of the COVID-19 vaccine have been administered in Africa, a World Health Organization (WHO) official has",health
Carney Chukwuemeka: Chelsea Sign Aston Villa Midfielder For £20m,", who starred in England's Under-19 European Championship triumph in July, has agreed a six-year deal.Read more",sports
Brent Crude Oil Hits $120 as EU Meets on Russia Sanctions,"Oil prices climbed above $120 a barrel on Monday, hitting their highest in more than two months as traders priced",business
"Obasanjo Visits Benin President, Seeks Soft Landing for Yoruba Nation Agitator Igboho","Former President Olusegun Obasanjo held a meeting with President of Benin Republic, Patrice Talon in the first week of August",politics
"Continued Stay of Service Chiefs a Huge Problem for Nigeria, Says Ahmed Buhari",A former Nigerian presidential candidate Ahmed Buhari has said the continued stay of the country's service chiefs poses a huge,politics
South Africa Wants More Men to Take Covid Jabs,South Africa has urged more men in the country to come out in larger numbers and take Covid jabs as,health
"Don’t Wait for Tomorrow to Take over Power from Corrupt Leaders, Obasanjo Tells Nigerian Youths","“My advice for Nigerian youths is that never let anybody tell you that you are the leaders of tomorrow.""Read more",politics
Philippines’ Duterte Says Daughter Running for President in 2022 Elections,"Philippine President Rodrigo’s daughter would run for president in next year’s election and her father’s long-time aide, who filed his",politics
"Chinese Vaccines Sweep Much of the World, Despite Western Concerns","The plane laden with vaccines had just rolled to a stop at Santiago’s airport in late January, and Chile’s president,",health
Will Smith Wins Best Actor at Oscars for King Richard after Slapping Chris Rock,Will Smith on Sunday won the Oscar for best actor for portraying Venus and Serena Williams’ father Richard in the,entertainment
Germany-France Heavyweight Clash Set to Light Up Euro 2020,"France vs Germany is one of the most anticipated matchups of the Euro 2020 group stage, and it could well",sports
Tesla’s Musk Says He Will Pay Over $11bn in Tax this Year,Electric-car maker Tesla Inc's Chief Executive Officer Elon Musk said on Sunday on Twitter that he will pay more than,business
Kanye West Sneakers Fetch Record $1.8M at Private Sale,A pair of prototype Nikes worn by Kanye West during a performance at the Grammy Awards in 2008 has shattered,entertainment
"AFCON 2021: Nigeria to Play Egypt, Holders Algeria Face Ivory Coast","Nigeria's Super Eagles have been drawn in a group alongside Africa's most successful side, Egypt in the group stage for",sports
Nigeria: Purported Endorsement of Consensus Chairman Divides APC Governors,"The purported endorsement of a former Governor of Nasarawa State, Senator Abdullahi Adamu, as the consensus National Chairman of the",politics
Trump ‘Planning to Declare Victory if it Looks Like He’s Ahead’ in Tuesday’s Election,US President Donald Trump has told people close to him that he will declare victory on Tuesday night if he,politics
Nigeria’s Super Falcons Land in America for Summer Series,Nine –time African champions Nigeria have arrived in the United States of America for this year’s Summer Series – a,sports
‘The Milkmaid’ is Nigeria’s Official Submission for 2021 Oscars,The Nigerian Oscars Selection Committee has selected Desmond Ovbiagele’s ‘The Milkmaid’ as Nigeria’s submission to the International Feature Film category of the 2021,entertainment
‘Only God Will Take Me Out of Brasilia’: Defiant Bolsonaro Talks Tough,Hundreds of thousands of Brazilians rallied across the country on Tuesday in support of far-right populist President Jair Bolsonaro and,politics
Olympic Village Confirms First Covid Case Days Before Tokyo Games,"The Tokyo Olympics has registered its first Covid-19 case in the Olympic Village six days before the Games open, the",sports
US Attorney General Barr Resigns,"Attorney General William Barr, one of President Donald Trump’s staunchest allies, is departing amid lingering tension over the president’s baseless",politics
"Nigeria: Central Bank Chief, Comms Minister Settle Banks, MTN’s Dispute over Commission",Emma Okonji Four days after commercial banks disconnected customers of MTN Nigeria from the use of the Unstructured Supplementary Service,business
"Nigeria: NDLEA, DSS Seal Off Abuja Hotel to ‘Stop Launch of New Psychoactive Drink’",A joint team of National Drug Law Enforcement Agency (NDLEA) and Department of State Services (DSS) have raided and sealed,health
"Igbo Committed to Nigeria’s Unity But Most Vulnerable in Terms of Insecurity, Ohanaeze Says",Ohaneze Ndigbo Worldwide has reemphasised the commitment of citizens of Igbo extraction to a united and prosperous Nigeria but noted that the story of insecurity,politics
"In a Dramatic Shift, Former SGF Kingibe Says Nigeria’s Unity Negotiable","Contrary to the claims by many Nigerian leaders that the unity of the country is non-negotiable, a former Secretary to",politics
Ford To Convert British Factory into Electric Vehicle Plant with $315m,US motor giant Ford has announced on Monday that it intends to spend £230 million ($315 million) transforming a factory,business
Nigeria Orders Reactivation  of  Covid Isolation Centres Nationwide,Nigeria’s federal government has directed all Covid-19 Isolation Centres across the country to immediately activate their facilities in anticipation of,health
Klopp Laments Penalty Chances after Shock Defeat at Southampton,"Liverpool’s manager, Jurgen Klopp, has insisted that it was baffling that the Premier League champions were not awarded a penalty",sports
"Peugeot Forecasts Nigeria to Import $7.5bn Worth of Used Vehicles, Motorcycles in 2021","The Chairman of Peugeot Automobile Nigeria (PAN) and former member of the House of Representatives, Hon. Ahmed Wadada Aliyu, tuesday",business
"Running Mate: Tinubu Working on Options, Okowa, Wike Top PDP’s List, Obi, Kwankwaso Still Consulting","With deadline for the submission of names of presidential candidates and their running mates three days away, the leaderships of",politics
Former Republicans and Democrats Form New Third US Political Party,"The new party called Forward will be co-chaired by former Democratic presidential candidate Andrew Yang and Christine Todd Whitman, the",politics
Amazon to Begin Drone Deliveries in California This Year,"Amazon says it will begin delivering parcels to shoppers by drone for the first time later this year, pending final",business
"Nigeria: Tension High, Don’t Heat Polity Further, Ex-Sokoto Governor Bafawara Cautions Politicians","A former Governor of Nigeria's northwestern Sokoto State, Attahiru Bafarawa, has called on politicians and political commentators across the country",politics
"Getting Covid-19 Vaccine is of Utmost Concern to Nigeria, Says VP Osinbajo",Nigeria's Vice-President Prof. Yemi Osinbajo has said getting the Covid-19 vaccine is a matter of utmost concern for the country.,health
"OPEC Mandates Nigeria to Cut Production by 939,000bpd in Three Months","The Organisation of Petroleum Exporting Countries (OPEC) on Tuesday upheld its December 3, 2020 decision to increase crude oil production",business
Nigeria: Flour Mills Acquires Majority Stake in Honeywell Flour Mills For N80bn,"Nigeria's biggest flour maker, Flour Mills has announced an agreement to acquire Honeywell Group’s portfolio company, Honeywell Flour Mills PLC",business
All Set for Zenith Bank’s 7th Annual International Trade Seminar on Non-Oil Export,"The seminar will draw participation from trade practitioners, local and foreign exporters, manufacturers, financial institutions, and government agencies.Read more",business
Mauritius to Have Presence in Space as Satellite Set for Launch,Mauritius is set to have a presence in space following the planned launch of a small satellite onboard a rocket,tech
DMX Posthumous Album Due for Release May 28,"A new album by the late rapper DMX, who died in April, will be released later this month. Featuring new material",entertainment
Nigeria: Court Restrains Buni from Parading Himself as APC Interim Chairman,A High Court sitting in Asaba on Wednesday restrained Governor Mai Mala Buni of Yobe State and other members of,politics
